example,ngram,pattern,term
He told me to try to learn something new every day.,learn something,learn n,learn
You’ll even get a chance to learn how to hand jive.,learn how,learn wh,learn
I advise you to leave off this minute !,leave off this minute,leave off n,leave
Bottom line: Leave for the airport earlier than usual.,leave for the airport,leave for n,leave
"Secretary, if you will leave me off the list.",leave me off the list,leave n off n,leave
This is a review of Stupid Bosses and the destruction they leave behind them.,leave behind them,leave behind n,leave
I leave the office at 4:30pm to catch the train home.,leave,leave,leave
"Leave Me out of it, alright?",leave me out of it,leave n out of n,leave
Leave It to Beaver: Classic Sitcom Celebrates 50 Years!,leave it to beaver,leave n to-inf,leave
"We'll leave it to you to make up your own mind.",leave it,leave n,leave
Leave to appeal was granted to both parties.,leave to appeal,leave to-inf,leave
"The lecture about his life was humorous, emotional, and thoughtful.",lecture about his,lecture about n,lecture
"He returned from this lecture to his lodgings, not to leave them again.",lecture to his,lecture to n,lecture
Or would she lecture him on his serial dating habits and leading women on?,lecture him on his,lecture n on n,lecture
Mo loves to lecture me about it all the time.,lecture me about it,lecture n about n,lecture
"Watch GZA's Harvard lecture on his Facebook page.",lecture on his,lecture on n,lecture
This was the 10th Lecture in the series.,lecture in the series,lecture in n,lecture
In 1976 she was appointed associate lecturer in the Department of Archaeology.,lecturer in the department,lecturer in n,lecturer
It was a pleasure to establish an annual lectureship in his honor in 1991.,lectureship in his,lectureship in n,lectureship
He used to leer at her there too.,leer at her,leer at n,leer
"Drink beer, wrestle bears, leer at women, stuff like that.",leer at,leer prep/adv,leer
"Drink beer, wrestle bears, leer at women, stuff like that.",leer at,leer adv/prep,leer
"With leer oblique their lover viewing And Cupid - panting -- and pursuing “ Fancy, enchanting Fair !",with leer,with leer,leer
"But after you have it done, all might be a little bit leery of the cost you have is history.",leery of the cost,leery of n,leery
I feel mighty leery about it.,leery about it,leery about n,leery
The only hole on our team is at left tackle.,at left,at left,left
He led off the third inning with a homer to left.,to left,to left,left
Can you put a New York gym on the Left Bank?,the left,the left,left
Space for two cabinets along the wall on left.,on left,on left,left
The hard left would unlikely give him much credit.,the hard left,the hard left,left
"Massimo, a leftover from the days of the Italian colonists.",leftover from the days,leftover from n,leftover
The UK leg of his tour was all too low key.,leg of his,leg of n,leg
He carried on the legacy of his brothers.,legacy of his,legacy of n,legacy
"He had hoped for some small legacy from his uncle, just something to remember him by.",legacy from his,legacy from n,legacy
"I'm thinking a lot about Steve Jobs and his legacy.",his legacy,"x+'s legacy",legacy
"I'm thinking a lot about Steve Jobs and his legacy.",his legacy,n legacy,legacy
What do you believe is Julia Child’s lasting legacy?,lasting legacy,adj legacy,legacy
"Is it legal to have a naval Ah, but we have the right to authobase on our soil ?",is it legal to have,v it legal to-inf,legal
"In the US, it is legal to view any material that job candidates have posted publicly, whereas in the European Union it is not.",it is legal to view,it v-link legal to-inf,legal
No distinction made in the United States between the members of a foreign legation.,foreign legation,adj legation,legation
Or the Irish legend that is Liam Neeson?,legend that,legend that,legend
Ervin is legendary for his drinks.,legendary for his,legendary for n,legendary
Zaruza membentuk pakatan Legion Of The Doom.,legion of the doom,legion of n,legion
"If that turns into obfusticated or encrypted stuff, they may legislate to make encryption unlawful.",legislate to make,legislate to-inf,legislate
"I have sent to him to legislate for us : he is wise in the law, and astrology, and all sciences ; he shall aid my Ministers in their councils.",legislate for us,legislate for n,legislate
SLADE and FLETCHER of Vermont. was inexpedient to legislate on the subject of a Mr.,legislate on the subject,legislate on n,legislate
Could we legislate against it effectively ?,legislate against it,legislate against n,legislate
No legislation against it is ever capable of complete enforcement.,legislation against it,legislation against n,legislation
Under legislation sponsored by state Sen.,under legislation,under legislation,legislation
The Legislature is expected to vote on the bill this week.,the legislature,the legislature,legislature
"It is legitimate to ask, what religion?",it is legitimate to ask,it v-link legitimate to-inf,legitimate
Where is it legitimate to use ?,is it legitimate to use,v it legitimate to-inf,legitimate
"When I'm at leisure, I don't tuck my shirt in any more.",at leisure,at leisure,leisure
"Sir, to lend you a hand !",lend you a hand,lend n n,lend
Most lenders can lend to you on the same day.,lend to you,lend to n,lend
"I can lend it to you, if you will take care of it.",lend it to you,lend n to n,lend
"In order to reduce the length of the article, the detailed expression of the equation is omitted.",length of the article,length of n,length
Fold the strip in length and stitch the open edges.,in length,in length,length
The other thing I liked about this movie is its length.,its length,"x+'s length",length
You must not give leniency to the mind.,leniency to the mind,leniency to n,leniency
Some people are lenient towards them.,lenient towards them,lenient towards/toward n,lenient
Well they are pretty lenient about it.,lenient about it,lenient about n,lenient
She is lenient with them b.,lenient with them,lenient with n,lenient
They do not lessen in any way the full measure of the rights of the shipper springing from such common - law or statutory liability resting upon the carrier.,lessen in any way,lessen in n,lessen
"I found myself were fast lessening in the distance, and without any knowledge of the interior of a the country.",lessening in the distance,lessening in n,lessening
This is a lesson that I learned from my friend.,lesson that,lesson that,lesson
One episode contained a moral: a lesson about the importance of taking the perspective of others.,lesson about the importance,lesson about n,lesson
So I learned my first lesson in the art of humility.,lesson in the art,lesson in n,lesson
Let that be a lesson to you.,lesson to you,lesson to n,lesson
An object lesson in the perils of being a fashion victim.,object lesson in the perils,object lesson in n,lesson
He would never let on how much.,let on how,let on wh,let
Just before he got to the penalty box he let up.,let up,let up,let
They never let on that they were watching.,let on that,let on that,let
Stanley A. McChrystal let down his guard.,let down his,let down n,let
I just feel compelled to let off some steam as well.,let off some steam as,let off n prep/adv,let
I just feel compelled to let off some steam as well.,let off some steam as,let off n adv/prep,let
I let out a sigh of relief.,let out a sigh,let out n,let
The combination could prove lethal for them all.,lethal for them,lethal for n,lethal
"However, it has been shown that dehydration and exposure to excessively high concentrations of electrolytes is also lethal to the cell.",lethal to the cell,lethal to n,lethal
Hill is to die by lethal injection on Tuesday at 7 p.m.,by lethal injection,by lethal injection,lethal
David Mason became the last person to die by lethal gas in California.,by lethal gas,by lethal gas,lethal
Send us a letter to the editor to weigh in.,letter to the editor,letter to n,letter
We Wrote You A Letter About It!,letter about it,letter about n,letter
A letter from his chief counsel argues that Mr.,letter from his,letter from n,letter
The authority will notify drivers of the new fee by letter.,by letter,by letter,letter
Go to letter submission form.,to letter,to letter,letter
"The drone’s nickname, SMOKEY, is visible in black lettering.",black lettering,adj lettering,lettering
Contracts must be printed in letters big enough to read.,in letters,in letters,letters
It boasts “HERO” in block letters at the bottom.,in block letters,in block letters,letters
This adjustment is made at the level of the individual customer.,level of the individual,level of n,level
"But Federer then stayed with Millman, and the pair went to a second-set tie-break that Federer easily won to level the match at one set all.",level the match at one,level n at n,level
"Population must level off at some point, whether through design or accident.",level off at some point,level off at n,level
Interest rates are expected to level out at some point in the future.,level out at some point,level out at n,level
When Will Steve Jobs Level With His Investors About His Health?,level with his,level with n,level
Are you ready to take your career to the next level?,the next level,n level,level
"The store will be located on Level 3, next to Nordstrom.",on level,on level,level
"What about coal, do we levy a tax on it as an municipality over the decades to develop this resource, it is energy form ?",levy a tax on it,levy n on n,levy
I miss my Lexicon.,my lexicon,"x+'s lexicon",lexicon
"Reuters shall not be liable for any errors in content, or for any actions taken in reliance thereon.",liable for any errors,liable for n,liable
What are we liable to you for?,liable to you,liable to n,liable
AIG is liable to pay when default occurs.,liable to pay,liable to-inf,liable
My aim is to liaise between you and the Houses.,liaise between you,liaise between pl-n,liaise
The sector will keep a very close liaison between the two.,liaison between the two,liaison between pl-n,liaison
That just means I am the liaison with the local authority.,liaison with the local,liaison with n,liaison
He was now liberal with his extracts.,liberal with his,liberal with n,liberal
Encounters with different cultures and novel situations can help liberate us from the confinements of ethno- and ego-centric thinking.,liberate us from the confinements,liberate n from n,liberate
He was at liberty awaiting the outcome of an appeal.,at liberty,at liberty,liberty
If the licensee makes some form of the in- but omitting from the license the right to use.,license the right to use,license n to-inf,license
Do we license it to someone?,license it to someone,license n to n,license
He didn’t even speak a lick of Spanish.,lick of,lick prep/adv,lick
He didn’t even speak a lick of Spanish.,lick of,lick adv/prep,lick
The coordinates must lie in the range 0.0 to 1.0.,lie in the range,lie in n,lie
I decided to lie down on the couch for a second.,lie,lie,lie
He motioned for me to lie down next to him.,lie down,lie down,lie
Did the officer lie about it?,lie about it,lie about n,lie
Bush will lie in state at the US Capitol on Tuesday.,lie in,lie adv/prep,lie
These questions lie outside the scope of our present inquiry.,lie outside,lie adj,lie
All I did was lie around all day.,lie around all day,lie around/round n,lie
Bush will lie in state at the US Capitol on Tuesday.,lie in,lie prep/adv,lie
The responsibilities lie way back of that.,lie way back,lie way prep/adv,lie
Just lie back on the cushion.,lie back,lie back,lie
"His lieutenant warned him, ""I'm watching you.",his lieutenant,"x+'s lieutenant",lieutenant
You have to take life as it comes.,life as it,life as n,life
"For the life of me, I can’t think of one.",life of me,life of n,life
"With the change of life style and the development of population, the water consumption is increasing gradually.",the change of life,the change of life,life
"In real life, he can’t even stand up to his dad.",in real life,in real life,life
Their way of life was condemned as totally bad.,their way of life,"x+'s way of life",life
The guy can’t hit a 5 yard slant for his life.,his life,n life,life
Its lifeblood is the strength and utility of its technology.,its lifeblood,"x+'s lifeblood",lifeblood
Prayer became a lifeline for us.,lifeline for us,lifeline for n,lifeline
That was all of your lifeline to the outside world.,lifeline to the outside,lifeline to n,lifeline
"Rotating your tires ensures they'll wear evenly over their lifespan.",their lifespan,"x+'s lifespan",lifespan
"It's not the childless who must justify their lifestyle.",their lifestyle,"x+'s lifestyle",lifestyle
What do we mean when we talk about a healthy lifestyle?,healthy lifestyle,adj lifestyle,lifestyle
The effectiveness of these modules will not be able to be determined within the lifetime of the project.,lifetime of the project,lifetime of n,lifetime
Workers there bounce among jobs and suffer a drop in lifetime pay.,in lifetime,in lifetime,lifetime
"McCain gave the speech of his lifetime, did he deliver?",his lifetime,"x+'s lifetime",lifetime
LIFT TO ALL FLOORS.,lift to all floors,lift to n,lift
Give your home a face-lift with a new coat of paint.,lift,lift,lift
They lift me up.,lift me up,lift n adv/prep,lift
Can you lift it up and down stairs?,lift it,lift n,lift
"If he can lift up his supporting cast, watch out!",lift up his,lift up n,lift
They lift me up.,lift me up,lift n prep/adv,lift
Lift off the pan and peel up the top mat.,lift off,lift off,lift
And so they say the Negro must lift himself by his own bootstraps.,lift himself by his,lift n by n,lift
The wind along the coast will be light to moderate.,light to moderate,light to-inf,light
Shine a light on it.,light on it,light on n,light
Seeing our child light up with a smile makes us melt.,light up with a smile,light up with n,light
Precipitation was moderate during the first half of the month with the heaviest amounts in the east and then became lighter by the end of the month.,lighter by the end,lighter by n,lighter
The general lightness of his faith with regard to his former T.,lightness of his,lightness of n,lightness
I like it better than shoes.,like it better,like n adj,like
I felt like it took us a while to get going.,like it,like n,like
Would you like to see this land opened up for housing?,like to see,like to-inf,like
How depressing would you like it to be?,like it to be,like n to-inf,like
Is there any likelihood of it?,likelihood of it,likelihood of n,likelihood
What is the likelihood that she will return to Congress?,likelihood that,likelihood that,likelihood
Your home is likely to be dustier than the modern office.,likely to be,likely to-inf,likely
It is likely that the girl would receive a stern scolding.,it is likely that,it v-link likely that,likely
Is it likely that will happen?,is it likely that,v it likely that,likely
"We may therefore liken them to the people of the autonomous northern frontier province Lulong earlier described by David Graff, whose existence was always framed by relations with the northern nomads as well as with Chinese.",liken them to the people,liken n to n,liken
Is there any likeness between them ?,likeness between them,likeness between pl-n,likeness
Clint Eastwood lends his voice and likeness to the product that entertains and introduces Harry to a younger group of fans.,likeness to the product,likeness to n,likeness
The package bears an illustration of his likeness.,his likeness,"x+'s likeness",likeness
Is it considered a good likeness ?,good likeness,adj likeness,likeness
What are their likes and dislikes?,their likes,"x+'s likes",likes
It has a tendency to reduce your liking for him.,liking for him,liking for n,liking
"It comes down to liking people, she said.",to liking,to liking,liking
She will not be a president to my liking.,my liking,"x+'s liking",liking
"In August 1998, his limb tremor recurred bilaterally.",his limb,"x+'s limb",limb
For the last year the estate tax has been in limbo.,in limbo,in limbo,limbo
"After the release of his biopic, 'Sanju', the actor has come in limelight once again.",in limelight,in limelight,limelight
She has been out of the limelight for about 10 years.,the limelight,the limelight,limelight
MUMBAI ing out of limelight.,out of limelight,out of limelight,limelight
Is there a limit to the number of dogs I can own?,limit to the number,limit to n,limit
Should there be a limit on the number of misroutes?,limit on the number,limit on n,limit
"If you like fat, go for fat – but limit it.",limit it,limit pron-refl,limit
But they limit themselves as to what they actually can do.,limit themselves as to what,limit n as to wh,limit
Limit yourself to one question.,limit yourself to one,limit n to n,limit
There is no limitation on the number of times a deferral may be renewed.,limitation on the number,limitation on n,limitation
A limitation of this study is the timeliness of the data.,limitation of this study,limitation of n,limitation
It is a limitation that the study was retrospective in design.,limitation that,limitation that,limitation
This might be the time limitation of our study.,the time limitation,n limitation,limitation
This study must be seen in the light of its limitations.,its limitations,"x+'s limitations",limitations
Then how were you limited by capital ?,you limited,n limited,limited
What are the limits of his pardon power?,limits of his,limits of n,limits
I’ve pushed my body past its limits to get ready.,its limits,"x+'s limits",limits
Judith Stone is off limits to you.,off limits to you,off limits to n,limits
"We should help the homeless to recover, within limits.",within limits,within limits,limits
He was limp in her arms.,limp in,limp prep/adv,limp
He was limp in her arms.,limp in,limp adv/prep,limp
Emacs will ask me if it should replace the initial T each time it encounters a line that starts with one.,line that starts with one,line n with n,line
"The gold stream is in a direct line from the city, only six kilometres away.",line from the city,line from n,line
They have to run from the starting line to the end line.,line to the end,line to n,line
I could take a line about it.,line about it,line about n,line
Put ‘You know you are Dutch when’ in the subject line of your email.,line of your email,line of n,line
It’s just a matter of where he’ll line up his top five guys.,line up his,line up pl-n,line
Did you see the line that they wanted the new iPod?,line that,line that,line
Platini’s outspokenness is in line with his ambition.,line with his,line with n,line
"Then, snap a line between the two walls.",line between the two,line between pl-n,line
Great one liner!,one liner,n liner,liner
Laundry hangs on lines outside some of the windows.,on lines,on lines,lines
Their lines are open 9am to 5pm Monday to Friday.,their lines,"x+'s lines",lines
He’s been on the front lines of this entire thing.,front lines,adj lines,lines
The virus can linger in the air for hours.,linger in,linger adv/prep,linger
The virus can linger in the air for hours.,linger in,linger prep/adv,linger
Avoid medical lingo.,medical lingo,adj lingo,lingo
"It was sad news, but there was a silver lining.",a silver lining,n lining,lining
"Finally, link it to your Alexa and test it out.",link it to,link n adv/prep,link
Link up your network today by calling 508-943-7440 for our free catalog.,link up your network,link up pl-n,link
These logs are not personally identifiable and we make no attempt to link them with the individuals that browse the site.,link them with the individuals,link n with n,link
"Finally, link it to your Alexa and test it out.",link it to,link n prep/adv,link
What if we could find all the sites in the world that have a link to us ?,link to us,link to n,link
He was unaware of the link with my name.,link with my name,link with n,link
See my first post in the link you posted.,link you,link pl-n,link
Engineering is a linkage between the two.,linkage between the two,linkage between pl-n,linkage
Check if the lip of the cup is too tall for the stone.,lip of the cup,lip of n,lip
"To cover his progressive base, he pays lip service to the idea.",lip service to the idea,lip service to n,lip
Gizmondo was put into liquidation two months ago.,into liquidation,into liquidation,liquidation
The lira has lost more than 40 percent this year.,the lira,the lira,lira
Get ready to cross off the rest of your shopping list.,list,list,list
"Here's our list of the top quarterback free agents.",list of the top,list of n,list
I listen to it during my commute to work.,listen to it,listen to n,listen
"I listen in class and don't play in my desk.",listen in,listen in,listen
Ask everyone else to listen out for it too.,listen out for it,listen out for n,listen
Listen out for the word he used.,listen out,listen out,listen
Listen for yourself below.,listen for yourself,listen for n,listen
What do you tend to listen to when you’re at home?,listen,listen,listen
Perfect placement to listen in on everything.,listen in on everything,listen in on n,listen
Being a good listener is now a desirable job skill.,good listener,adj listener,listener
Yeats alerted his listeners to his appropriation of an Irish W.,listeners to his,listeners to n,listeners
I was very literal about it.,literal about it,literal about n,literal
LITTER OF ONE SEX Large White sow owned by W.,litter of one,litter of n,litter
The littoral forest was on a sandy substrate.,the littoral,the littoral,littoral
"I couldn’t live with it anymore, so I quit.",live with it,live with n,live
I live on the on the 400 block of Hinton Street.,live on,live on,live
Your stories will live on in our hearts!,live on in our hearts,live on in n,live
He just wants to live out his life in peace.,live out his,live out n,live
The show managed to live up to the hype.,live up to the hype,live up to n,live
"She's now choosing to live out the rest of her life on her own terms.",live out the rest of,live out n adv/prep,live
I’ll be happy if I live to see it happen.,live to see,live to-inf,live
We live in a world where media saturates our lives.,live in a world,live in n,live
"With incredible and fatal celerity, the baneful liquid mingled with the crimson stream, which a few minutes before had flushed so eloquently in that fair face, now distorted by agony and livid with the hue of death.",livid with the hue,livid with n,livid
They were livid that someone would even attempt to pull this off.,livid that,livid that,livid
What if he was livid over her actions?,livid over her,livid over n,livid
Michael was livid about it.,livid about it,livid about n,livid
I suddenly heard a loud male voice in the living room.,the living,the living,living
"As nice as assisted living can be, this is home.",assisted living,adj living,living
I’m the guy that goes and sits in the living room.,the living room,the living room,living
"Of course, R3 500 a month is NOT a living wage.",a living wage,a living wage,living
"NET page, you first load it into your browser with no errors reported.",load it into your browser,load n into n,load
We struggled to bundle so many assault rifles and load them on our trucks.,load them on our trucks,load n on n,load
I went to my phone settings and in the matter of seconds it took to load it now said I was connected to Virgin Media.,load it now,load n prep/adv,load
"THIS IS der the load of his cross, and die, and so pre- 3.",load of his,load of n,load
I went to my phone settings and in the matter of seconds it took to load it now said I was connected to Virgin Media.,load it now,load n adv/prep,load
I were able to load him with his terns.,load him with his,load n with n,load
Bases loaded with one out and Juan Pierre due up.,loaded with one,loaded with n,loaded
Perhaps a loaf of this delicious bread would cheer her heart.,loaf of this delicious bread,loaf of n,loaf
Can’t get a loan from a bank?,loan from a bank,loan from n,loan
"I told money — to loan it to me, provided Mr.",loan it to me,loan n to n,loan
Was it a loan to you from Mr.,loan to you,loan to n,loan
The land is on loan from one of her best friends.,on loan,on loan,loan
The Greek government is loath to do so.,loath to do,loath to-inf,loath
Grief mingled with loathing for his killer.,loathing for his,loathing for n,loathing
But La Russa could trust Pujols to lob the ball in from left field.,lob the ball in,lob n prep/adv,lob
But La Russa could trust Pujols to lob the ball in from left field.,lob the ball in,lob n adv/prep,lob
Such efforts urge action or lobby for the protection of monuments.,lobby for the protection,lobby for n,lobby
And Israel is sending teams to Washington to lobby against it.,lobby against it,lobby against n,lobby
The main lobby area is an open space.,main lobby,adj lobby,lobby
So that all I had to do was to go into that division lobby where the Whips sent me.,that division lobby,n lobby,lobby
A CT scan revealed a giant lesion in the left front-temporal lobe.,temporal lobe,adj lobe,lobe
The place to find out about the music of the world local to you.,local to you,local to n,local
Employers to state what they are doing with their local MPs.,their local,"x+'s local",local
"I’m hoping to get all the locals back, rebuild the club.",the locals,the locals,locals
Another way to locate hard money lenders is to look for them locally.,locate hard,locate prep/adv,locate
Another way to locate hard money lenders is to look for them locally.,locate hard,locate adv/prep,locate
Location of this property is shown on Figure 2.2.4.4.,location of this property,location of n,location
We will not limit our searches by geographical location.,geographical location,adj location,location
Police admit this area is dangerous because of its location.,its location,"x+'s location",location
The film will shoot on location in the UK and India.,on location,on location,location
"Lock away his brothers, would they?",lock away his,lock away pron-refl,lock
"His plan was not only to lock out his children, but sometimes to lock them in for a telling-off.",lock out his,lock out pron-refl,lock
All they needed to do was lock up the ball.,lock up,lock up,lock
All their teams lock them up.,lock them up,lock n prep/adv,lock
All their teams lock them up.,lock them up,lock n adv/prep,lock
"Or a lock of his hair, if that's more your speed.",lock of his,lock of n,lock
I thought I told you to lock yourself in a room.,lock yourself in a room,lock n in n,lock
I also lock him out of his room.,lock him out of his,lock n out of n,lock
I think I have a lock on the job next year.,lock on,lock prep/adv,lock
"Locked in a room, food served in turns.",locked in a room,locked in n,locked
"If two operations do not commute, their locks must conflict.",their locks,"x+'s locks",locks
Electronic locks are used for online control of the tunnel access.,electronic locks,adj locks,locks
"There's Timber Ridge Lodge in Lake Geneva.",lodge in,lodge adv/prep,lodge
His mother preferred to lodge a complaint with the child welfare committee.,lodge a complaint with,lodge n adv/prep,lodge
"There's Timber Ridge Lodge in Lake Geneva.",lodge in,lodge prep/adv,lodge
"Khatau, on the trail of setting up a dream project – a rambling lodge in the heart of tiger country.",lodge in the heart,lodge in n,lodge
His mother preferred to lodge a complaint with the child welfare committee.,lodge a complaint with,lodge n prep/adv,lodge
I was in a Master Suite in the main Lodge.,the main lodge,n lodge,lodge
The two men have been at loggerheads for more than a month.,at loggerheads,at loggerheads,loggerheads
What is the logic behind it.,logic behind it,logic behind n,logic
"In the logic of his 43-page ruling, U.S.",logic of his,logic of n,logic
Section 3 introduces the fuzzy logic for trust management.,fuzzy logic,adj logic,logic
Sounds logical to me.,logical to me,logical to n,logical
What is logical about it ?,logical about it,logical about n,logical
How much more [is it logical to assume that God protects from sin] the righteous themselves.,is it logical to assume,v it logical to-inf,logical
It is logical to assume that the Rayleigh-Ritz method gives upper bounds.,it is logical to assume,it v-link logical to-inf,logical
It is logical that hyperglycemia elicits insulin secretion.,it is logical that,it v-link logical that,logical
"You might want to loll about in bed, talking with him, reading.",loll about in,loll about adv/prep,loll
I usually loll around at home all day.,loll around,loll prep/adv,loll
"You might want to loll about in bed, talking with him, reading.",loll about in,loll about prep/adv,loll
I usually loll around at home all day.,loll around,loll adv/prep,loll
Lollop around doing nothing and expect to be taken care of.,lollop around,lollop adv/prep,lollop
Lollop around doing nothing and expect to be taken care of.,lollop around,lollop prep/adv,lollop
He now has to face the lonely road ahead.,the lonely,the lonely,lonely
"Plus, the US bull market is long in the tooth.",long in the tooth,long in n,long
Why does it take you so long to get ready?,long to get,long to-inf,long
The Mind cannot fix long on one invariable Idea.,long on one,long on n,long
That’s too long for me.,long for me,long for n,long
I had a lot of points in the long jump.,the long jump,the long jump,long
I usually start writing books in longhand.,in longhand,in longhand,longhand
And I’m longing to be up north.,longing to be,longing to-inf,longing
A longing for something more?,longing for something,longing for n,longing
My own writing had begun to echo with longing.,with longing,with longing,longing
None of these kids look like they want to be there.,look like they,look like n,look
We have to allow the authorities to look into it.,look into it,look into n,look
Look out for them.,look out for them,look out for n,look
They look as though they are gossiping.,look as though,look as though,look
"I'm so glad I can look back at that race now.",look back,look back,look
I look down on you because you are irrelevant.,look down on you,look down on n,look
The look on his face when he bites angrily into that drumstick.,look on his face when,look on n adv/prep,look
The look on his face when he bites angrily into that drumstick.,look on his face when,look on n prep/adv,look
"It doesn't look as if that's happened yet.",look as if,look as if,look
So you pull out your phone to look it up.,look it,look n,look
"Gibson was raised on Lookout Mountain, and Mrs.",on lookout,on lookout,lookout
We have adored her looks since a very long time.,her looks,"x+'s looks",looks
Questions still loom for sugar next year.,loom for,loom adv/prep,loom
Questions still loom for sugar next year.,loom for,loom prep/adv,loom
Loop it around again and pull tight.,loop it around,loop n prep/adv,loop
The main loop of the algorithm on Fig.,loop of the algorithm,loop of n,loop
Loop it around again and pull tight.,loop it around,loop n adv/prep,loop
She had a loop of bowel twisted up with something.,loop of,loop prep/adv,loop
She had a loop of bowel twisted up with something.,loop of,loop adv/prep,loop
"There's a loophole in the law.",loophole in the law,loophole in n,loophole
He dives on loose balls.,on loose,on loose,loose
"Dan, v.6. tained for a considerable period ; as, the lope of a woli.",lope of,lope prep/adv,lope
"Dan, v.6. tained for a considerable period ; as, the lope of a woli.",lope of,lope adv/prep,lope
"We're really excited about Lord of the Rings.",lord of the rings,lord of n,lord
"That's what local lore is.",local lore,adj lore,lore
One family tried twenty times to come by lorry.,by lorry,by lorry,lorry
The gaines care great ; gain the whole World : But the loffe is greater ; and lose his own Soul.,lose his own soul,lose n n,lose
I am greatly afraid that Moth would lose against him.,lose against him,lose against n,lose
I don’t want to lose my job because I need money.,lose,lose,lose
Lose amount funded in 1995.,lose amount,lose amount,lose
The key here is to lose yourself in the music.,lose yourself in the music,lose n in n,lose
"If you’ve got a blockbuster, you don’t want to lose out.",lose out,lose out,lose
"And if you lose out on that, then you lose out on a lot of things.",lose out on a lot,lose out on n,lose
Can we keep this program going or will we lose it?,lose it,lose n,lose
"If I have to lose out to someone, might as well be a Hollywood pretty boy.",lose out to someone,lose out to n,lose
He’s still mourning the loss of his mom.”?,loss of his,loss of n,loss
He added a tackle for loss to his stat line.,loss to his,loss to n,loss
The Company posted a net loss after tax of Rs.,a net loss,n loss,loss
"He’s sorry for their loss, but not for driving away.",their loss,"x+'s loss",loss
In particular we look at loss and dephasing.,at loss,at loss,loss
I live in jeans and own a lot of them.,lot of them,lot of n,lot
A bus on the other side of the lot roared awake.,the lot,the lot,lot
You better be gearing up for a whole lot of Gwen.,whole lot,adj lot,lot
Try Tasting Room by Lot 18 or Glassful.,by lot,by lot,lot
And how will endangered Democrats manage their lot?,their lot,"x+'s lot",lot
Gonna slap some tanning lotion!,some tanning lotion,n lotion,lotion
Is there a scramble for school holidays or a lottery?,a lottery,a lottery,lottery
"Like many charter schools, it admits students by lottery.",by lottery,by lottery,lottery
The odds of winning the lottery are not in your favor.,the lottery,the lottery,lottery
But his own voice rang loud in his ears.,loud in his,loud in n,loud
Come lounge with Scarlett today at Seattle Humane.,lounge with,lounge adv/prep,lounge
Come lounge with Scarlett today at Seattle Humane.,lounge with,lounge prep/adv,lounge
Were we trapped in the departure lounge ­forever?,the departure lounge,n lounge,lounge
"We eat, retire to the lounge with a bottle of wine.",the lounge,the lounge,lounge
I do lousy at it.,lousy at it,lousy at n,lousy
The theme of Book 6 begins with a love affair between a knight and a married lady.,love affair between a knight,love affair between pl-n,love
I met the love of my life.,love of my life,love of n,love
I love everything about it.,love everything about it,love n about n,love
Most know firsthand that love between a man and woman is not always a faithful one.,love between a man,love between pl-n,love
We love for you to come out and see us.,love for you,love for n,love
I would really love you to buy this car.,love you to buy,love n to-inf,love
I love to hear a loved one’s voice on the phone.,love to hear,love to-inf,love
"It's lovely to see you.",lovely to see,lovely to-inf,lovely
There was nothing lovely about it.,lovely about it,lovely about n,lovely
It was lovely to see them again.,it was lovely to see,it v-link lovely to-inf,lovely
And wouldn’t it be lovely if you could avoid that post-holiday spending hangover?,it be lovely if,it v-link lovely when/if,lovely
I told her it was lovely that she thought so.,it was lovely that,it v-link lovely that,lovely
Lover of his COUNTRY.,lover of his,lover of n,lover
Her lover turned to look at the princess.,her lover,"x+'s lover",lover
Her lover turned to look at the princess.,her lover,n lover,lover
She said that he wasfeeling very low after being made redundant.,low after being,low after v,low
"When the supermoon is viewed low on the horizon, it appears huge.",low on the horizon,low on n,low
"For retirees, health care costs are actually relatively low in the state.",low in the state,low in n,low
China’s yuan fell to a one-year low against the dollar.,low against the dollar,low against n,low
They want to lower the cost of health insurance.,lower the cost of,lower n adv/prep,lower
I will lower your grade by one letter grade. c.,lower your grade by one,lower n by n,lower
"It may be safest to simply to lower you to the floor, and then get help.",lower you to the floor,lower n to n,lower
"Lower it behind your back, then raise it.",lower it,lower pron-refl,lower
This would bring our estimates lower by a factor of ∼ 2.7.,lower by a factor,lower by n,lower
They want to lower the cost of health insurance.,lower the cost of,lower n prep/adv,lower
Snow will be possible in the lowlands in the morning.,the lowlands,the lowlands,lowlands
He was forgiving and loyal to his aides.,loyal to his,loyal to n,loyal
The extract shows that Rex was loyal towards his masters and loved them. ii.,loyal towards his,loyal towards/toward n,loyal
No other demonstration will produce greater loyalty among your staff !,loyalty among your staff,loyalty among pl-n,loyalty
His loyalty to his boss has remained unquestioned.,loyalty to his,loyalty to n,loyalty
Don’t just stay out of loyalty.,out of loyalty,out of loyalty,loyalty
He became lucid about it.,lucid about it,lucid about n,lucid
We were saved by luck and skill.,by luck,by luck,luck
"If you decide to get an Apple laptop, you’re in luck.",in luck,in luck,luck
"He had been lucky with the weather in Berlin, maybe not so lucky in Leipzig.",lucky with the weather,lucky with n,lucky
"Lucky for me, I've only been a visitor.",lucky for me,lucky for n,lucky
I’m lucky that I can do this for my little girl.,lucky that,lucky that,lucky
I was so lucky to have had a son like him.,lucky to have,lucky to-inf,lucky
I was lucky in that respect.,lucky in that respect,lucky in n,lucky
It was lucky that I wanted to go.,it was lucky that,it v-link lucky that,lucky
